"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"1279","
        <p>Hello!</p>
        <p>You will be taking part in a stroop experiment.
          You will see one the following words displayed:</p>
          <ul>
            <li style = color:Red;>'red'</li>
            <li style = color:Blue;>'blue'</li>
            <li style = color:Orange;>'orange'</li>
            <li style = color:Green;>'green'</li>
          </ul>
        <p>And the displayed word will be colored in one of the four colors.
          Not necessarily in the same color as shown above</p>
        <br>
        <p>Press any key to continue.</p>
        ","f","html-keyboard-response","0","2.1.0","1280"
"414","
        <p>Your role will be to press the 'F' key when the word corresponds to the actual color,<br>
            or press the 'J' key when the word and color is mismatched.</p>
        <p>Press any key to continue.</p>
        ","j","html-keyboard-response","1","2.1.0","1695"
"null","+","null","html-keyboard-response","2","2.1.0","2213"
"159","
                    <p style = color:orange;>orange</p>","f","html-keyboard-response","3","2.1.0","2373"
"null","+","null","html-keyboard-response","4","2.1.0","2880"
"400","
                    <p style = color:green;>red</p>","j","html-keyboard-response","5","2.1.0","3281"
"null","+","null","html-keyboard-response","6","2.1.0","3794"
"918","
                    <p style = color:green;>orange</p>","j","html-keyboard-response","7","2.1.0","4712"
"null","+","null","html-keyboard-response","8","2.1.0","5214"
"625","
                    <p style = color:blue;>blue</p>","f","html-keyboard-response","9","2.1.0","5841"
"null","+","null","html-keyboard-response","10","2.1.0","6344"
"707","
                    <p style = color:red;>blue</p>","j","html-keyboard-response","11","2.1.0","7052"
"null","+","null","html-keyboard-response","12","2.1.0","7556"
"925","
                    <p style = color:blue;>green</p>","j","html-keyboard-response","13","2.1.0","8481"
"null","+","null","html-keyboard-response","14","2.1.0","8995"
"773","
                    <p style = color:orange;>green</p>","j","html-keyboard-response","15","2.1.0","9768"
"null","+","null","html-keyboard-response","16","2.1.0","10279"
"617","
                    <p style = color:green;>green</p>","f","html-keyboard-response","17","2.1.0","10897"
"null","+","null","html-keyboard-response","18","2.1.0","11412"
"1213","
                    <p style = color:red;>orange</p>","j","html-keyboard-response","19","2.1.0","12625"
"null","+","null","html-keyboard-response","20","2.1.0","13140"
"1175","
                    <p style = color:blue;>orange</p>","j","html-keyboard-response","21","2.1.0","14316"
"null","+","null","html-keyboard-response","22","2.1.0","14830"
"653","
                    <p style = color:green;>blue</p>","j","html-keyboard-response","23","2.1.0","15484"
"null","+","null","html-keyboard-response","24","2.1.0","15997"
"1999","
                    <p style = color:orange;>blue</p>","j","html-keyboard-response","25","2.1.0","17997"
"null","+","null","html-keyboard-response","26","2.1.0","18511"
"585","
                    <p style = color:red;>green</p>","j","html-keyboard-response","27","2.1.0","19097"
"null","+","null","html-keyboard-response","28","2.1.0","19599"
"1001","
                    <p style = color:orange;>red</p>","j","html-keyboard-response","29","2.1.0","20601"
"null","+","null","html-keyboard-response","30","2.1.0","21108"
"1241","
                    <p style = color:red;>red</p>","f","html-keyboard-response","31","2.1.0","22350"
"null","+","null","html-keyboard-response","32","2.1.0","22861"
"495","
                    <p style = color:blue;>red</p>","j","html-keyboard-response","33","2.1.0","23357"
